X,Y
33,43
48,10
15,32
41,16
47,11
25,43
50,45
36,44
27,35
1,4
41,28
15,37
11,32
7,2
33,28
37,42
33,42
31,7
46,39
19,1
44,29
41,45
5,48
1,26
42,8
25,20
43,41
32,3
4,20
15,31
37,33
42,12
7,28
38,31
35,11
19,7
35,30
8,37
30,20
25,1
23,42
19,4
6,2
38,11
6,19
46,32
26,1
22,37
35,20
21,6
49,33
20,36
44,17
15,27
43,8
47,44
5,19
18,8
33,22
48,35
24,17
16,2
17,17
39,30
32,44
40,4
26,8
26,15
9,34
28,33
27,19
7,16
38,21
39,1
16,23
30,9
29,29
32,20
18,39
21,43
30,36
47,15
31,15
9,3
21,10
7,17
35,50
15,21
42,34
47,39
21,25
8,4
38,19
17,41
44,29
3,11
4,35
37,2
38,45
2,22
