Water Temperature,Fish Age,Fish Length
25,14,620
25,28,1315
25,41,2120
25,55,2600
25,69,3110
25,83,3535
25,97,3935
25,111,4465
25,125,4530
25,139,4570
25,153,4600
27,14,625
27,28,1215
27,41,2110
27,55,2805
27,69,3255
27,83,4015
27,97,4315
27,111,4495
27,125,4535
27,139,4600
27,153,4600
29,14,590
29,28,1305
29,41,2140
29,55,2890
29,69,3920
29,83,3920
29,97,4515
29,111,4520
29,125,4525
29,139,4565
29,153,4566
31,14,590
31,28,1205
31,41,1915
31,55,2140
31,69,2710
31,83,3020
31,97,3030
31,111,3040
31,125,3180
31,139,3257
31,153,3214
